#Min_Id	Max_Id	Length
1	2	175.73744370900
2	3	150.49849934200
1	3	200.70739572800
2	4	387.35655792000
4	6	126.62683097500
5	6	113.62057417300
4	5	140.77452877200
5	10	156.50137479700
5	11	112.46595611600
10	11	133.56445045200
6	8	116.86202621100
6	7	112.05060787000
7	9	107.34042969200
8	9	108.30127527300
7	8	130.18493988800
6	9	155.06059102700
8	11	113.87113331500
11	12	144.67718160100
12	13	139.45328589600
8	13	116.22421375000
8	12	158.75825481600
11	13	166.71806879000
3	7	480.64874524200
10	172	363.95601165500
10	171	223.25971989100
171	172	290.30199106800
0	1	309.13758577100
171	384	135.33570625100
172	174	137.80162678700
174	175	125.75150777300
172	175	161.13939228800
12	173	353.49310639400
173	176	212.73134888500
174	177	180.97536194300
173	174	127.19102375700
174	176	149.55933055900
176	177	179.34634894200
173	177	147.07846011400
175	179	361.29800770900
176	178	367.90921238400
179	180	155.89521528100
180	181	152.66356625200
179	183	180.39514556600
181	183	112.62453588800
180	183	174.60503628000
179	181	211.67122408500
181	191	225.24209178600
183	184	146.85000265500
178	182	190.50497441500
178	183	130.85821609100
182	183	138.55650686700
182	184	128.54493673500
178	184	115.96505169600
182	185	307.59314257400
191	194	338.51062448500
188	192	263.67141354200
193	194	160.76817497100
188	194	234.55648920500
188	193	242.45919369400
192	233	177.32435992000
180	232	179.44081176600
193	215	315.97395367100
194	195	663.57822607700
203	213	188.97289992200
195	201	294.49895440700
201	203	214.43275593800
201	202	147.02915681800
199	202	221.20642577500
195	199	144.05106829300
195	203	204.92562521400
199	203	178.89858521500
201	204	130.17526034600
202	214	213.29332526100
204	205	160.33782067500
204	234	114.55876062300
205	234	117.30014836900
200	207	233.44561089200
207	234	88.33889558140
208	234	182.37555636600
208	209	304.80060960400
208	211	183.81804429400
209	211	179.57289093800
205	206	150.84621904300
206	210	144.54127051400
211	212	157.16281432700
206	212	123.86121188800
210	212	130.75997200900
210	211	114.45883724100
206	211	106.99306356500
212	235	163.49397514400
210	218	173.83884638200
218	219	157.19488183000
217	220	131.80101106700
217	218	111.82214171600
217	219	117.93878261600
219	220	111.97622006800
218	220	112.56025411800
216	217	182.53204338000
219	222	295.27985799700
209	220	206.97443951800
222	226	133.38805903800
226	227	155.58341045300
222	223	104.89725212900
223	226	120.66408788600
226	228	126.56416539200
227	228	149.50236029800
228	229	81.56793105710
229	230	102.12520344200
228	230	105.36286198400
223	224	213.55900844000
223	225	196.22292554700
158	170	405.04227246800
157	227	271.77089324100
156	157	198.29610981200
156	158	134.49182353400
157	158	168.35724648600
139	156	154.66435484600
155	156	209.02125137700
139	155	145.78966457900
154	155	160.07870332700
159	168	195.36772793700
152	154	169.35434135900
154	159	141.71200264600
152	159	161.02527350300
145	152	189.72118684500
152	153	191.54338720800
145	153	214.76525312300
153	160	89.26519984850
160	162	79.30070962660
161	163	75.40640081470
160	163	74.23274838600
161	162	67.57889770450
163	236	99.05514348270
164	169	172.98812831800
162	169	150.22086001500
162	164	117.45154414400
164	165	236.70663309600
165	166	242.49479956700
164	166	300.18770822900
150	161	255.98488696700
144	150	158.74368130900
149	150	221.95477202800
144	149	194.47445549800
144	151	233.79760484700
149	151	215.44503588800
151	165	162.95664932300
144	145	180.80514539400
144	146	134.38593331800
142	146	129.80023341200
142	145	177.21814217600
142	144	181.25925748000
145	146	193.16434095800
141	142	110.72800986900
142	143	135.12272184000
141	143	124.53021123500
146	147	158.77236461600
130	147	122.07409946300
130	148	115.13445206900
148	149	177.21688063100
127	143	401.47741368200
124	127	148.43366917500
126	130	259.03514715100
126	127	122.29653176000
124	126	133.59631369300
123	126	132.47652069900
128	129	141.29425647000
123	129	264.59332659300
123	130	287.63716977400
126	128	284.59126754100
140	141	270.10648213400
138	139	164.04199475800
139	140	127.53147087300
138	140	139.39499006400
137	138	433.92560099900
122	124	161.54599935300
125	131	187.00262984900
121	123	144.85966471600
119	121	216.59961916600
118	119	140.28559756100
120	136	165.90044072700
134	135	256.84429903100
132	133	224.36961146100
131	132	155.57891089700
124	125	124.94675376500
122	125	135.21846415200
123	125	114.90208640100
121	125	120.29960302700
124	131	145.27447029500
122	131	153.85749502500
119	120	125.04389221000
120	122	192.25658748200
122	136	197.15990831700
120	121	208.52688719600
135	136	245.55957464100
132	135	224.27700188600
113	118	181.28339416000
117	118	119.23841367200
113	117	139.40278924200
116	117	526.36863971200
113	114	177.29093182900
114	115	174.15367279500
112	113	173.10703141100
112	114	174.87582293200
109	112	242.77011215300
110	111	131.20932226400
110	112	218.06053661500
109	110	204.86511982100
106	109	261.93802387600
107	109	223.10270251300
106	107	225.17555656500
107	108	129.12566635000
137	231	905.08385534700
100	231	225.22311138900
105	106	459.07015713800
101	105	220.27003822500
97	101	133.71959519400
95	97	260.61846220100
89	95	213.65556466000
86	89	158.75169553400
91	92	213.02698211200
92	93	147.52923092800
93	99	190.57386235000
99	100	284.57836352900
84	91	203.07780989500
75	84	243.95148658400
79	81	147.64632999400
81	86	263.95635227400
77	79	252.43297262700
