#Id	Position	Position_Y
0	-0.4895	51.4775
1	-0.4903	51.4762
2	-0.4890	51.4758
3	-0.4895	51.4752
4	-0.4855	51.4758
5	-0.4842	51.4758
6	-0.4848	51.4753
7	-0.4853	51.4749
8	-0.4842	51.4749
9	-0.4847	51.4745
10	-0.4828	51.4758
11	-0.4836	51.4753
12	-0.4828	51.4749
13	-0.4836	51.4744
14	-0.4842	51.4727
15	-0.4847	51.4723
16	-0.4836	51.4718
17	-0.4847	51.4699
18	-0.4847	51.4684
19	-0.4841	51.4688
20	-0.4853	51.4688
21	-0.4835	51.4681
22	-0.4847	51.4678
23	-0.4829	51.4674
24	-0.4841	51.4674
25	-0.4853	51.4674
26	-0.4875	51.4681
27	-0.4893	51.4688
28	-0.4875	51.4669
29	-0.4867	51.4674
30	-0.4876	51.4660
31	-0.4868	51.4648
32	-0.4867	51.4665
33	-0.4855	51.4665
34	-0.4839	51.4665
35	-0.4847	51.4670
36	-0.4847	51.4660
37	-0.4847	51.4652
38	-0.4821	51.4652
39	-0.4821	51.4660
40	-0.4829	51.4665
41	-0.4821	51.4669
42	-0.4813	51.4665
43	-0.4813	51.4674
44	-0.4796	51.4674
45	-0.4795	51.4665
46	-0.4786	51.4670
47	-0.4787	51.4679
48	-0.4778	51.4665
49	-0.4777	51.4674
50	-0.4746	51.4675
51	-0.4758	51.4665
52	-0.4743	51.4665
53	-0.4750	51.4660
54	-0.4749	51.4652
55	-0.4735	51.4670
56	-0.4728	51.4666
57	-0.4726	51.4674
58	-0.4735	51.4679
59	-0.4693	51.4675
60	-0.4687	51.4679
61	-0.4677	51.4675
62	-0.4686	51.4670
63	-0.4696	51.4666
64	-0.4686	51.4661
65	-0.4678	51.4666
66	-0.4657	51.4666
67	-0.4653	51.4675
68	-0.4669	51.4653
69	-0.4642	51.4671
70	-0.4631	51.4666
71	-0.4653	51.4662
72	-0.4640	51.4653
73	-0.4633	51.4675
74	-0.4606	51.4675
75	-0.4588	51.4675
76	-0.4598	51.4670
77	-0.4607	51.4666
78	-0.4589	51.4659
79	-0.4584	51.4666
80	-0.4578	51.4671
81	-0.4571	51.4666
82	-0.4566	51.4661
83	-0.4649	51.4683
84	-0.4566	51.4675
85	-0.4557	51.4670
86	-0.4547	51.4666
87	-0.4559	51.4651
88	-0.4581	51.4651
89	-0.4533	51.4666
90	-0.4539	51.4670
91	-0.4548	51.4675
92	-0.4529	51.4675
93	-0.4516	51.4675
94	-0.4507	51.4670
95	-0.4514	51.4666
96	-0.4498	51.4661
97	-0.4490	51.4666
98	-0.4484	51.4671
99	-0.4499	51.4675
100	-0.4473	51.4675
101	-0.4478	51.4666
102	-0.4474	51.4660
103	-0.4486	51.4651
104	-0.4496	51.4651
105	-0.4458	51.4667
106	-0.4417	51.4667
107	-0.4405	51.4659
