#node	zone_1	zone_2
6	0	55
7	0	58
9	1	0
14	1	19
237	1	174
238	1	197
239	1	175
240	1	178
241	1	176
15	2	1
242	2	159
243	2	177
244	2	179
245	2	180
246	2	181
386	2	176
387	2	182
17	3	2
20	3	4
247	3	182
27	4	1000
248	4	187
249	4	186
250	4	185
251	4	184
252	4	183
18	5	3
22	6	5
24	6	17
25	6	7
26	8	4
29	8	7
28	9	8
32	10	9
33	10	11
35	11	6
36	12	11
37	12	304
30	13	9
31	13	304
34	14	11
40	14	15
41	15	18
38	16	304
39	16	15
21	17	159
23	18	17
13	19	20
16	19	159
253	19	196
254	19	195
255	19	194
388	19	193
8	20	0
11	20	54
12	21	20
173	21	22
174	22	52
176	22	23
178	23	24
183	24	50
182	25	24
185	25	26
188	26	48
187	27	26
189	27	28
295	28	252
315	28	253
196	29	28
314	28	254
389	29	254
198	30	29
199	30	46
200	31	30
322	31	260
207	32	31
234	32	44
323	32	261
324	32	262
325	32	263
390	33	263
208	33	32
209	33	34
211	33	42
326	33	264
327	33	265
328	33	266
329	33	267
220	34	40
221	34	35
330	34	268
331	34	269
332	34	270
333	34	271
391	33	268
229	36	35
230	36	145
226	37	38
228	37	36
222	38	39
223	38	154
219	39	40
217	40	153
218	40	41
206	42	43
210	42	41
212	42	152
205	44	43
201	45	46
204	45	44
195	46	47
202	46	151
203	46	150
194	47	48
192	48	148
193	48	149
181	49	50
191	49	48
179	50	51
180	50	147
175	51	52
172	52	53
10	53	54
171	53	146
5	54	55
4	55	56
2	56	57
1	57	59
3	58	57
380	58	231
381	58	232
382	58	233
383	58	234
0	59	303
157	60	61
227	60	37
158	61	173
156	62	61
155	63	62
154	64	63
159	64	155
152	65	64
153	66	65
160	66	67
162	68	67
163	68	67
169	68	303
236	68	303
138	69	70
139	69	62
342	70	286
343	70	285
344	70	284
345	70	298
346	70	297
347	70	294
348	70	295
140	71	69
141	72	71
143	73	72
124	74	75
127	74	73
120	76	88
122	76	75
136	76	158
126	77	74
129	77	144
130	77	78
147	78	79
148	78	80
142	81	72
144	81	82
145	81	65
146	81	79
149	82	80
150	82	83
161	83	67
151	84	82
165	84	85
164	85	68
166	86	85
167	86	144
385	86	1000
123	87	77
125	87	75
119	88	89
121	88	87
117	90	135
118	90	89
112	91	92
113	91	90
109	92	93
106	93	94
105	94	95
101	95	96
97	96	99
98	96	97
99	97	98
93	98	143
94	99	98
95	99	100
89	101	100
90	101	142
81	102	103
85	102	141
86	102	101
79	103	104
80	103	140
76	104	113
77	104	105
70	105	106
65	107	108
66	107	106
63	108	114
59	109	124
60	109	169
62	109	108
61	110	109
67	111	110
69	111	106
73	111	112
83	111	170
301	111	235
74	112	113
75	113	140
376	113	171
56	114	115
52	115	116
55	115	123
48	117	118
51	117	116
45	118	119
46	118	121
42	119	15
43	120	18
44	121	120
47	121	163
49	122	121
50	123	122
57	124	123
284	124	228
285	124	229
286	124	230
53	125	116
54	125	304
64	126	108
68	126	304
71	127	106
72	127	304
78	128	104
88	128	304
82	129	102
87	129	304
96	130	99
104	130	304
102	131	95
103	131	304
107	132	93
108	132	304
110	133	92
111	133	304
114	134	91
115	134	304
116	135	304
296	136	249
302	136	240
303	136	241
304	136	242
305	136	243
306	136	248
307	136	247
308	136	246
309	136	245
310	136	244
368	136	168
373	136	1000
197	137	29
311	137	257
312	137	256
313	137	255
316	137	258
317	137	259
374	137	1000
137	138	70
231	138	139
349	138	296
350	138	283
351	138	282
352	138	281
353	138	280
354	138	302
394	70	296
100	139	97
320	140	289
321	140	290
392	141	290
84	141	140
355	141	291
356	141	292
91	142	141
357	142	293
393	141	293
92	143	142
334	145	272
335	145	273
336	145	274
337	145	275
338	145	276
339	145	277
340	145	278
341	145	279
375	145	1000
384	146	303
232	147	303
233	148	303
215	149	303
213	150	303
214	151	303
235	152	303
216	153	303
224	154	303
225	154	303
168	155	303
132	156	157
133	156	138
134	156	138
131	157	75
135	158	156
19	159	3
256	159	193
257	159	192
258	159	191
259	159	190
260	159	189
261	159	188
177	160	22
274	160	207
275	160	206
360	160	198
361	160	199
362	160	161
262	161	200
263	161	201
272	161	209
273	161	208
363	161	162
264	162	202
265	162	203
270	162	211
271	162	210
364	162	163
266	163	204
267	163	205
268	163	213
269	163	212
184	164	24
276	164	219
277	164	218
366	164	165
365	165	166
58	166	123
278	166	217
279	166	216
280	166	215
281	166	214
282	166	224
283	166	226
186	167	26
290	167	222
291	167	221
292	167	220
367	167	168
369	167	169
190	168	27
293	168	251
294	168	250
371	168	170
287	169	227
288	169	225
289	169	223
370	169	170
372	169	170
297	170	239
298	170	238
299	170	237
300	170	236
318	171	287
319	171	288
377	171	1000
378	171	301
128	172	77
358	172	299
359	172	300
379	172	1000
170	173	303
395	306	303
396	305	303
397	307	304
398	308	304
