#agent	time	s_region	s_node	t_region	t_node
1	64	215	280	308	398
2	145	216	279	307	397
3	213	308	398	230	286
4	229	306	395	256	312
5	280	213	268	306	395
6	521	308	398	178	240
7	568	307	397	213	268
8	715	274	336	305	396
9	828	292	356	307	397
10	880	255	313	305	396
11	938	176	241	307	397
12	972	187	248	308	398
13	1018	305	396	228	284
14	1133	190	259	307	397
15	1280	307	397	256	312
16	1474	307	397	207	274
17	1504	305	396	253	315
18	1704	307	397	176	241
19	1825	257	311	306	395
20	2121	214	281	306	395
21	2419	305	396	272	334
22	2579	307	397	186	249
23	2826	307	397	299	358
24	2891	308	398	282	351
25	3058	177	243	307	397
26	3221	307	397	230	286
27	3463	211	270	306	395
28	3490	305	396	299	358
29	3519	308	398	259	317
30	3673	178	240	306	395
31	3885	257	311	305	396
32	4088	197	238	307	397
33	4340	233	382	308	398
34	4640	308	398	206	275
35	4723	250	294	305	396
36	4915	306	395	261	323
37	5051	199	361	306	395
38	5258	226	283	307	397
39	5269	272	334	308	398
40	5341	306	395	215	280
41	5411	253	315	306	395
42	5561	185	250	305	396
43	5817	211	270	305	396
44	6107	220	292	307	397
45	6273	308	398	213	268
46	6362	275	337	307	397
47	6657	307	397	200	262
48	6740	183	252	306	395
49	6802	307	397	241	303
50	7082	308	398	213	268
51	7113	308	398	295	348
52	7223	189	260	307	397
53	7309	214	281	305	396
54	7351	284	344	306	395
55	7424	252	295	305	396
56	7473	305	396	226	283
57	7756	305	396	287	318
58	7799	192	257	305	396
59	7938	181	246	308	398
60	7974	305	396	228	284
61	8220	305	396	245	309
62	8298	269	331	308	398
63	8495	248	306	307	397
64	8733	306	395	197	238
65	8945	308	398	275	337
66	8974	178	240	307	397
67	9105	306	395	213	268
68	9245	305	396	230	286
69	9498	204	266	308	398
70	9577	305	396	179	244
71	9796	191	258	305	396
72	10023	308	398	207	274
73	10212	221	291	308	398
74	10348	262	324	308	398
75	10508	307	397	270	332
76	10653	181	246	306	395
77	10832	306	395	241	303
78	11050	233	382	308	398
79	11121	307	397	219	276
80	11305	232	381	306	395
81	11500	297	346	308	398
82	11752	213	268	308	398
83	11949	308	398	269	331
84	12233	214	281	308	398
85	12408	188	261	306	395
86	12546	266	328	306	395
