#ID	TYPE	CAPACITY
0	I	1
1	I	1
2	I	1
3	I	1
4	I	1
5	L	1
6	I	1
7	L	1
8	I	1
9	I	1
10	L	1
11	I	1
12	I	1
13	I	1
14	L	1
15	I	1
16	I	1
17	I	1
18	I	1
19	I	1
20	I	1
21	L	2
22	I	1
23	L	2
24	I	1
25	L	2
26	I	1
27	I	1
28	I	1
29	I	1
30	I	1
31	I	1
32	I	1
33	I	1
34	I	1
35	L	2
36	I	1
37	I	1
38	I	1
39	L	2
40	I	1
41	L	1
42	I	1
43	L	1
44	I	1
45	L	1
46	I	1
47	L	3
48	I	1
49	L	1
50	I	1
51	L	2
52	I	1
53	I	1
54	I	1
55	I	1
56	L	2
57	I	1
58	I	1
59	I	1
60	L	2
61	I	1
62	I	1
63	L	1
64	I	1
65	I	1
66	L	1
67	I	1
68	I	1
69	I	1
70	I	1
71	L	2
72	I	1
73	L	2
74	I	1
75	I	1
76	I	1
77	I	1
78	I	1
79	L	1
80	L	1
81	I	1
82	I	1
83	L	2
84	L	1
85	I	1
86	I	1
87	I	1
88	I	1
89	L	1
90	I	1
91	I	1
92	I	1
93	I	1
94	L	3
95	I	1
96	I	1
97	I	1
98	I	1
99	I	1
100	L	1
101	I	1
102	I	1
103	I	1
104	I	1
105	L	2
106	I	1
107	L	1
108	I	1
109	I	1
110	L	2
111	I	1
112	L	2
113	I	1
114	L	2
115	I	1
116	I	1
117	L	1
118	I	1
119	L	1
120	L	1
121	I	1
122	L	2
123	I	1
124	I	1
125	I	1
126	I	1
127	I	1
128	I	1
129	I	1
130	I	1
131	I	1
132	I	1
133	I	1
134	I	1
135	I	1
136	I	1
137	I	1
138	I	1
139	L	1
140	I	1
141	I	1
142	I	1
143	L	1
144	L	3
145	I	1
146	I	1
147	I	1
148	I	1
149	I	1
150	I	1
151	I	1
152	I	1
153	I	1
154	I	1
155	I	1
156	I	1
157	L	1
158	L	1
159	I	1
160	I	1
161	I	1
162	I	1
163	I	1
164	I	1
165	L	1
166	I	1
167	I	1
168	I	1
169	I	1
170	I	1
171	I	1
172	I	1
173	I	1
174	S	
175	S	
176	S	
177	S	
178	S	
179	S	
180	S	
181	S	
182	S	
183	S	
184	S	
185	S	
186	S	
187	S	
188	S	
189	S	
190	S	
191	S	
192	S	
193	S	
194	S	
195	S	
196	S	
197	S	
198	S	
199	S	
200	S	
201	S	
202	S	
203	S	
204	S	
205	S	
206	S	
207	S	
208	S	
209	S	
210	S	
211	S	
212	S	
213	S	
214	S	
215	S	
216	S	
217	S	
218	S	
219	S	
220	S	
221	S	
222	S	
223	S	
224	S	
225	S	
226	S	
227	S	
228	S	
229	S	
230	S	
231	S	
232	S	
233	S	
234	S	
235	S	
236	S	
237	S	
238	S	
239	S	
240	S	
241	S	
242	S	
243	S	
244	S	
245	S	
246	S	
247	S	
248	S	
249	S	
250	S	
251	S	
252	S	
253	S	
254	S	
255	S	
256	S	
257	S	
258	S	
259	S	
260	S	
261	S	
262	S	
263	S	
264	S	
265	S	
266	S	
267	S	
268	S	
269	S	
270	S	
271	S	
272	S	
273	S	
274	S	
275	S	
276	S	
277	S	
278	S	
279	S	
280	S	
281	S	
282	S	
283	S	
284	S	
285	S	
286	S	
287	S	
288	S	
289	S	
290	S	
291	S	
292	S	
293	S	
294	S	
295	S	
296	S	
297	S	
298	S	
299	S	
300	S	
301	S	
302	S	
303	R	
304	R	
305	A	
306	A	
307	A	
308	A	
