#端点号	端点号	长度（meters）	可否hold
0	1	299.326853	1
1	2	78.275134	0
1	3	93.635997	1
2	3	84.277141	0
2	4	156.429827	1
3	5	653.840903	1
5	6	213.336335	1
5	7	213.889129	1
6	7	145.698618	0
6	9	222.431631	1
7	8	246.651015	1
8	11	224.691781	1
8	12	206.878824	1
8	13	178.319049	1
10	11	218.902043	1
11	10	218.902043	1
11	12	127.601156	0
11	13	172.057612	1
12	13	89.932447	0
12	15	76.659031	0
12	16	101.90548	1
13	14	102.469159	0
13	19	132.609763	1
14	15	89.369333	1
14	17	93.455466	1
14	18	62.533855	0
14	19	103.348546	1
15	16	93.215564	0
15	17	93.401912	0
15	18	94.707318	1
16	52	424.758166	1
17	18	67.609708	0
17	56	633.103246	1
18	21	76.584896	1
18	29	71.396187	0
19	20	139.520439	1
19	72	116.157698	1
20	23	161.49044	1
20	72	90.386592	0
21	22	82.725132	1
21	29	70.874405	0
21	46	75.95671	0
21	72	70.558392	0
22	24	177.134475	1
22	44	149.627117	1
22	45	78.979327	0
22	46	70.809132	0
22	72	68.98483	0
23	25	92.818261	1
23	26	132.51379	1
24	25	94.537529	1
24	27	127.732099	1
24	28	81.904257	0
24	44	89.679471	0
24	45	163.894553	1
25	26	93.306969	1
25	27	89.342579	1
25	28	84.464126	1
26	30	305.597592	1
27	28	79.043832	1
27	31	300.137212	1
28	34	563.237903	1
28	36	547.701045	1
28	37	475.564864	1
28	38	398.12623	1
28	39	317.186245	1
28	40	246.682253	1
28	41	186.66674	1
28	42	130.863141	1
28	43	71.543782	0
30	32	112.043244	1
30	33	88.889025	0
31	33	92.297852	1
31	34	101.208977	0
31	35	141.176803	1
32	33	85.531683	0
32	47	120.344583	1
33	34	99.823754	1
33	35	93.054921	1
34	35	104.579379	1
34	36	80.971093	0
34	37	162.047694	1
34	38	222.617756	1
34	39	300.777223	1
34	40	377.54555	1
34	41	449.857293	1
34	42	513.244706	1
34	43	569.0441	1
35	48	104.162946	1
46	72	93.703793	1
48	49	76.965773	1
48	51	105.361446	1
49	50	91.392421	1
49	51	76.411261	1
50	51	353.118059	1
52	53	94.916782	1
52	54	81.284522	0
52	55	89.488018	0
53	52	94.916782	1
53	54	79.683599	0
53	55	88.11522	0
53	61	514.751106	1
54	55	114.442808	1
54	58	153.87643	1
55	56	108.628436	1
55	57	108.376037	1
56	57	102.00867	1
57	63	627.521919	1
59	60	223.959341	1
60	61	180.340933	0
60	62	236.565757	1
60	65	269.061647	1
61	62	236.329686	1
61	65	268.833374	1
62	63	102.350593	0
62	64	103.302731	0
62	65	105.988827	1
63	64	121.139723	1
64	68	308.506752	1
65	66	191.04545	1
66	67	127.376861	1
66	68	93.164422	0
66	69	94.074331	0
67	68	95.216156	0
67	69	98.996486	0
67	71	1144.546725	1
68	69	106.728501	1
69	70	312.35657	1
73	59	2528.421718	0
73	70	3018.945392	0
73	71	4301.813223	0
74	10	2621.526585	0
74	9	3089.330358	0
74	4	4176.529459	0
74	0	4331.263227	0
