#FID_1(node)	FID_2(zone1)	FID_3(zone2)
0	0	44
1	0	1
2	1	2
3	1	3
4	2	44
5	3	4
6	4	5
7	4	6
9	5	44
8	6	9
10	7	44
11	7	9
13	8	9
14	8	42
19	8	10
12	9	41
20	10	13
72	10	12
18	11	42
21	11	12
29	11	45
22	12	15
46	12	46
23	13	14
25	14	16
26	14	17
44	15	56
45	15	47
24	16	15
27	16	18
28	16	43
30	17	19
31	18	20
32	19	21
33	19	20
34	20	43
35	20	23
47	21	22
49	22	24
50	22	25
48	23	24
51	24	25
55	26	29
56	26	27
57	26	31
17	27	42
16	28	41
52	28	29
53	29	32
54	29	30
58	30	44
63	31	34
61	32	33
60	33	35
62	33	34
65	33	37
64	34	36
59	35	44
68	36	38
66	37	38
67	38	40
69	38	39
70	39	44
71	40	44
15	41	42
36	43	55
37	43	54
38	43	53
39	43	52
40	43	51
41	43	50
42	43	49
43	43	48
73	57	44
74	58	44
