#agent	time	s_region	s_node	t_region	t_node
1	193	57	73	54	37
2	473	49	42	58	74
3	605	58	74	55	36
4	611	46	46	58	74
5	655	51	40	58	74
6	894	58	74	55	36
7	900	51	40	58	74
8	1101	57	73	52	39
9	1390	58	74	50	41
10	1664	52	39	57	73
11	1741	55	36	58	74
12	1744	50	41	58	74
13	1984	48	43	58	74
14	2028	56	44	57	73
15	2198	53	38	57	73
16	2466	58	74	53	38
17	2624	57	73	52	39
18	2903	55	36	58	74
19	3128	48	43	58	74
20	3281	57	73	45	29
21	3348	55	36	57	73
22	3647	47	45	58	74
23	3837	57	73	48	43
24	3896	56	44	58	74
25	4047	55	36	58	74
26	4267	48	43	58	74
27	4460	57	73	56	44
28	4636	48	43	57	73
29	4659	48	43	57	73
30	4719	57	73	54	37
31	4760	57	73	51	40
32	4861	55	36	58	74
33	4989	45	29	57	73
34	5083	48	43	58	74
35	5304	57	73	46	46
36	5588	58	74	55	36
37	5609	55	36	57	73
38	5830	49	42	58	74
39	5891	58	74	47	45
40	5977	58	74	54	37
41	6211	46	46	58	74
42	6435	47	45	58	74
43	6455	50	41	58	74
44	6748	53	38	57	73
45	6881	56	44	57	73
46	6895	48	43	57	73
47	6998	56	44	58	74
48	7156	57	73	54	37
49	7404	49	42	57	73
50	7541	53	38	57	73
51	7807	58	74	54	37
52	8015	57	73	48	43
53	8163	50	41	57	73
54	8412	51	40	57	73
55	8450	49	42	57	73
56	8635	48	43	57	73
57	8784	45	29	58	74
58	8941	46	46	57	73
59	9229	54	37	58	74
60	9373	45	29	57	73
61	9386	50	41	57	73
62	9641	58	74	54	37
63	9878	46	46	58	74
64	9983	54	37	57	73
65	10217	55	36	58	74
66	10508	45	29	58	74
67	10762	54	37	57	73
68	10964	47	45	57	73
69	11220	56	44	57	73
70	11375	58	74	55	36
71	11440	55	36	57	73
72	11704	57	73	53	38
73	11763	57	73	55	36
74	12033	58	74	55	36
75	12044	57	73	45	29
76	12076	49	42	57	73
77	12216	52	39	58	74
78	12275	50	41	58	74
79	12428	51	40	57	73
80	12643	52	39	57	73
81	12658	57	73	50	41
82	12678	57	73	53	38
83	12925	45	29	57	73
84	13179	48	43	57	73
85	13466	46	46	57	73
86	13650	58	74	52	39
87	13911	51	40	57	73
88	14051	57	73	54	37
89	14268	58	74	56	44
90	14402	58	74	50	41
91	14404	48	43	57	73
92	14494	58	74	54	37
93	14671	57	73	53	38
94	14968	52	39	57	73
95	15262	52	39	57	73
96	15333	54	37	57	73
97	15583	46	46	58	74
98	15654	57	73	50	41
99	15794	57	73	52	39
100	15832	58	74	48	43
101	15841	57	73	54	37
102	15989	57	73	51	40
103	16260	52	39	57	73
104	16366	58	74	46	46
105	16469	49	42	57	73
106	16728	45	29	58	74
107	16948	54	37	58	74
108	17048	46	46	58	74
109	17308	58	74	49	42
110	17551	53	38	57	73
111	17742	55	36	58	74
112	17771	55	36	58	74
113	17995	46	46	57	73
114	18027	49	42	58	74
115	18064	57	73	45	29
116	18330	56	44	58	74
117	18554	55	36	57	73
118	18805	58	74	56	44
