#Min_Id	Max_Id	Length	可否hold	是否起降	是否弯道
0	1	189.80 	1	0	1
1	6	412.30 	0	0	0
1	5	103.30 	0	0	1
5	6	358.10 	0	0	1
6	14	405.50 	0	0	0
6	10	111.20 	0	0	1
10	14	346.20 	0	0	1
14	20	545.40 	0	0	0
20	23	396.30 	0	0	0
14	15	143.40 	0	0	1
15	20	470.70 	0	0	1
20	564	104.00 	0	0	1
23	564	353.60 	0	0	1
23	25	178.90 	1	0	0
25	26	186.30 	0	0	0
26	32	651.90 	0	0	0
26	28	114.40 	0	0	1
28	32	594.80 	0	0	1
32	39	296.10 	0	0	0
32	38	124.00 	0	0	1
38	39	226.30 	0	0	1
39	42	417.20 	0	0	0
39	40	107.20 	0	0	1
40	42	364.90 	0	0	1
42	45	345.70 	0	0	1
45	46	148.00 	0	0	1
46	47	173.70 	0	0	1
44	46	199.30 	1	0	0
44	565	114.10 	0	0	1
44	48	136.70 	0	0	1
46	48	164.30 	0	0	1
46	565	136.70 	0	0	1
42	565	105.50 	0	0	1
45	565	291.40 	0	0	1
43	44	230.20 	1	0	0
37	43	249.70 	1	0	0
40	41	142.60 	0	0	0
40	43	137.10 	0	0	1
41	43	151.30 	0	0	0
37	40	174.20 	0	0	1
37	41	180.90 	0	0	1
33	37	202.70 	1	0	0
37	38	159.20 	0	0	1
36	37	194.10 	0	0	1
33	38	99.63 	0	0	1
33	36	141.50 	0	0	1
34	38	111.40 	0	0	1
34	37	204.30 	1	0	0
30	33	229.70 	1	0	0
34	35	188.10 	1	0	0
30	35	186.00 	0	0	1
29	30	271.20 	1	0	0
27	29	173.20 	0	0	0
28	31	170.10 	0	0	1
27	28	107.70 	0	0	1
28	29	118.20 	0	0	1
27	31	149.00 	0	0	1
29	31	160.30 	0	0	0
27	591	273.40	1	0	0
22	591	342.60 	1	0	0
21	22	218.80 	1	0	0
22	564	105.50 	0	0	1
22	24	145.00 	0	0	1
21	564	163.40 	0	0	1
21	24	203.80 	1	0	0
19	21	250.50 	1	0	0
24	564	168.80 	0	0	1
16	19	193.10 	1	0	0
15	17	152.70 	1	0	0
18	19	138.80 	0	0	1
17	19	164.10 	0	0	1
15	16	100.80 	0	0	1
15	19	147.00 	0	0	1
16	17	124.10 	0	0	1
15	18	171.50 	0	0	1
16	18	175.10 	0	0	1
13	16	268.20 	1	0	0
11	13	161.60 	1	0	0
10	12	175.70 	0	0	1
10	13	109.10 	0	0	1
10	11	102.20 	0	0	1
12	13	140.30 	0	0	1
11	12	150.60 	0	0	1
7	11	256.40 	1	0	0
2	7	205.00 	1	0	0
5	8	152.50 	1	0	0
5	7	113.20 	0	0	1
7	8	140.00 	0	0	1
2	5	142.80 	0	0	1
2	8	171.80 	0	0	1
0	2	143.70 	0	0	1
2	3	174.90 	0	0	1
3	4	82.33 	1	0	0
8	9	82.11 	1	0	0
12	312	177.80 	0	0	0
17	566	82.24 	1	0	0
18	314	195.70 	0	0	0
