#FID_1	FID_2	FID_3
0	2	7
1	7	8
2	2	3
3	1	2
4	1	446
5	3	8
6	8	9
7	3	4
8	0	3
9	0	446
10	5	9
11	4	5
12	5	6
13	5	18
14	9	10
15	10	19
16	18	19
17	19	20
18	19	21
19	19	22
20	10	11
21	22	23
22	23	25
23	11	12
24	23	24
25	12	13
26	13	14
27	26	460
28	14	26
29	26	28
30	28	29
31	26	27
32	14	15
33	29	31
34	29	31
35	29	30
36	31	32
37	31	33
38	15	31
39	15	16
40	16	33
41	33	34
42	16	17
43	33	35
44	35	36
45	17	38
46	36	38
47	38	39
48	36	37
49	40	41
50	41	42
51	41	44
52	44	45
53	45	46
54	45	48
55	45	47
56	47	49
57	49	50
58	49	51
59	49	53
60	49	52
61	53	54
62	54	55
63	54	56
64	57	461
65	57	58
66	57	59
67	59	60
68	59	61
69	61	62
70	61	63
71	63	64
72	63	71
73	63	65
74	65	66
75	65	67
76	67	68
77	68	69
78	68	70
79	111	112
80	112	114
81	114	115
82	115	116
83	116	117
84	109	116
85	109	462
86	109	113
87	109	110
88	112	113
89	117	118
90	118	119
91	118	246
92	156	246
93	119	120
94	106	108
95	106	120
96	120	158
97	156	158
98	105	106
99	106	107
100	120	121
101	103	105
102	121	122
103	122	146
104	146	157
105	103	122
106	122	123
107	102	103
108	103	104
109	100	102
110	100	101
111	99	100
112	100	124
113	123	124
114	124	125
115	124	145
116	145	247
117	146	247
118	146	248
119	158	248
120	158	249
121	246	249
122	98	99
123	126	127
124	125	126
125	125	144
126	144	154
127	145	155
128	154	155
129	154	162
130	153	154
131	155	166
132	155	156
133	98	127
134	95	98
135	96	98
136	127	128
137	127	143
138	143	152
139	152	153
140	152	257
141	151	152
142	128	129
143	96	97
144	95	96
145	94	95
146	95	129
147	129	130
148	129	142
149	142	151
150	151	159
151	91	94
152	91	93
153	90	91
154	91	131
155	131	132
156	130	131
157	131	141
158	141	159
159	89	90
160	132	133
161	86	89
162	89	133
163	133	140
164	133	134
165	86	88
166	85	86
167	86	134
168	134	135
169	134	139
170	139	148
171	140	149
172	86	87
173	83	85
174	83	84
175	79	83
176	82	84
177	84	135
178	84	138
179	81	82
180	82	136
181	79	82
182	78	79
183	43	79
184	136	137
185	137	147
186	138	147
187	147	148
188	148	149
189	149	150
190	137	259
191	76	78
192	76	77
193	75	76
194	76	81
195	73	75
196	72	73
197	73	74
198	74	80
199	80	81
200	166	167
201	162	163
202	163	167
203	163	164
204	164	165
205	167	169
206	165	167
207	165	168
208	168	171
209	169	170
210	170	244
211	171	459
212	170	171
213	170	171
214	171	457
215	171	456
216	172	243
217	208	254
218	245	255
219	245	256
220	202	245
221	244	245
222	245	244
223	201	244
224	201	202
225	202	205
226	202	203
227	200	201
228	199	201
229	196	199
230	195	196
231	205	208
232	208	465
233	206	208
234	240	242
235	234	240
236	240	241
237	239	241
238	213	241
239	213	219
240	212	213
241	210	213
242	209	210
243	210	211
244	210	214
245	206	463
246	204	206
247	206	207
248	238	239
249	238	234
250	237	238
251	236	237
252	220	236
253	234	236
254	219	220
255	214	215
256	235	234
257	221	235
258	220	221
259	221	223
260	217	221
261	215	217
262	217	218
263	215	216
264	217	222
265	233	234
266	231	233
267	231	232
268	224	232
269	223	224
270	222	225
271	225	226
272	226	227
273	227	230
274	224	227
275	230	231
276	229	231
277	231	258
278	228	229
279	197	200
280	194	197
281	196	197
282	197	198
283	191	194
284	193	195
285	191	193
286	192	193
287	190	191
288	187	466
289	187	188
290	188	190
291	185	187
292	186	188
293	188	189
294	183	185
295	184	186
296	180	183
297	181	184
298	178	180
299	180	181
300	183	184
301	181	182
302	179	181
303	177	178
304	173	179
305	173	177
306	173	174
307	175	176
308	176	177
309	176	173
310	150	159
311	40	446
312	6	446
313	46	446
314	21	446
315	52	446
316	24	446
317	55	446
318	27	446
319	58	446
320	30	446
321	62	446
322	32	446
323	64	446
324	34	446
325	66	446
326	37	446
327	39	446
328	69	446
329	70	447
330	111	447
331	110	447
332	71	447
333	107	447
334	60	447
335	447	458
336	104	447
337	101	447
338	96	447
339	97	447
340	93	447
341	51	447
342	92	447
343	88	447
344	48	447
345	87	447
346	42	447
347	43	447
348	77	447
349	72	447
350	218	448
351	216	448
352	211	448
353	207	448
354	448	455
355	189	448
356	182	448
357	174	448
358	175	448
359	448	449
360	448	450
361	447	451
362	446	454
363	447	452
364	446	453
365	8	260
366	8	261
367	8	262
368	8	263
369	9	264
370	9	265
371	9	266
372	9	267
373	10	268
374	10	269
375	10	270
376	10	271
377	10	272
378	10	273
379	11	274
380	11	275
381	11	276
382	11	277
383	13	278
384	13	279
385	14	280
386	14	281
387	14	282
388	14	283
389	14	284
390	14	285
391	14	286
392	15	287
393	15	288
394	15	289
395	16	290
396	16	292
397	16	293
398	16	294
399	16	295
400	16	296
401	17	297
402	17	298
403	17	299
404	17	300
405	17	301
406	17	302
407	16	291
408	249	347
409	249	348
410	249	349
411	249	350
412	248	346
413	248	345
414	248	344
415	248	343
416	247	342
417	247	341
418	247	340
419	159	318
420	159	319
421	159	320
422	159	321
423	150	317
424	150	316
425	150	315
426	147	314
427	147	313
428	147	312
429	147	311
430	81	310
431	81	309
432	81	308
433	81	307
434	81	306
435	81	305
436	80	304
437	74	303
438	147	322
439	147	323
440	147	324
441	147	325
442	148	326
443	148	327
444	149	328
445	150	329
446	150	330
447	150	331
448	159	332
449	159	333
450	159	334
451	159	335
452	159	336
453	151	337
454	151	338
455	151	339
456	161	372
457	161	371
458	161	370
459	161	369
460	161	368
461	160	367
462	160	366
463	160	365
464	160	364
465	160	363
466	156	351
467	156	352
468	156	353
469	156	354
470	156	355
471	156	356
472	156	357
473	156	358
474	156	359
475	156	360
476	156	361
477	156	362
478	250	373
479	250	374
480	250	375
481	250	376
482	250	377
483	250	378
484	251	379
485	251	380
486	251	381
487	251	382
488	251	383
489	252	384
490	252	385
491	252	386
492	252	387
493	229	388
494	229	389
495	229	390
496	229	391
