#agent	time	s_region	s_node	t_region	t_node
1	106	453	364	360	475
2	179	300	404	451	361
3	227	278	383	454	362
4	294	449	359	439	546
5	389	363	465	454	362
6	467	432	537	452	363
7	583	453	364	321	422
8	689	383	488	449	359
9	762	450	360	329	445
10	822	396	502	451	361
11	835	314	426	449	359
12	928	442	543	453	364
13	935	450	360	368	460
14	1040	451	361	389	494
15	1154	454	362	302	406
16	1270	451	361	346	412
17	1348	453	364	407	587
18	1440	336	452	452	363
19	1464	454	362	423	528
20	1530	286	391	454	362
21	1637	450	360	364	464
22	1713	335	451	450	360
23	1824	449	359	260	365
24	1898	449	359	392	497
25	1918	264	369	454	362
26	2011	355	470	450	360
27	2027	454	362	265	370
28	2035	367	461	454	362
29	2154	269	374	454	362
30	2250	454	362	347	408
31	2323	419	524	454	362
32	2410	453	364	378	483
33	2461	408	513	454	362
34	2518	451	361	291	407
35	2532	450	360	379	484
36	2622	454	362	341	417
37	2666	392	497	452	363
38	2751	427	532	451	361
39	2850	449	359	339	455
40	2904	454	362	421	526
41	2946	452	363	275	380
42	2950	452	363	306	434
43	3045	450	360	386	491
44	3069	454	362	338	454
45	3163	451	361	353	468
46	3182	451	361	435	547
47	3218	391	496	452	363
48	3243	452	363	398	500
49	3267	454	362	263	368
50	3267	338	454	449	359
51	3358	299	403	450	360
52	3412	371	457	454	362
53	3454	453	364	336	452
54	3518	373	478	452	363
55	3638	395	503	450	360
56	3691	454	362	342	416
57	3716	396	502	451	361
58	3762	380	485	449	359
59	3867	320	421	454	362
60	3908	337	453	450	360
61	3960	381	486	452	363
62	4006	453	364	370	458
63	4107	451	361	342	416
64	4177	452	363	318	419
65	4181	350	411	453	364
66	4272	450	360	306	434
67	4321	345	413	453	364
68	4432	450	360	323	439
69	4455	325	441	454	362
70	4569	450	360	424	529
71	4667	352	467	451	361
72	4701	263	368	449	359
73	4719	452	363	378	483
74	4783	452	363	335	451
75	4883	454	362	283	388
76	4937	452	363	297	401
77	4962	430	535	454	362
78	5061	329	445	451	361
79	5094	344	414	449	359
80	5121	451	361	353	468
81	5173	450	360	357	472
82	5213	450	360	296	400
83	5288	451	361	260	365
84	5310	453	364	375	480
85	5389	453	364	268	373
86	5490	451	361	398	500
87	5520	451	361	409	514
88	5553	440	545	453	364
89	5598	449	359	292	396
90	5695	450	360	277	382
91	5705	384	489	451	361
92	5734	454	362	334	450
93	5799	454	362	356	471
94	5852	306	434	454	362
95	5889	449	359	273	378
96	5905	401	506	453	364
97	5915	450	360	312	428
98	6032	319	420	452	363
99	6048	361	476	450	360
100	6108	450	360	444	541
101	6215	454	362	420	525
102	6319	407	512	450	360
103	6423	387	492	453	364
104	6478	298	402	454	362
105	6543	314	426	453	364
106	6565	449	359	263	368
107	6571	326	588	451	361
108	6613	451	361	342	416
109	6631	381	486	451	361
110	6649	453	364	401	506
111	6722	377	482	453	364
112	6769	454	362	308	432
113	6888	432	537	453	364
114	6919	327	443	452	363
115	6993	450	360	420	525
116	7031	385	490	453	364
117	7137	451	361	440	545
118	7148	452	363	367	461
119	7190	453	364	263	368
120	7218	439	546	451	361
121	7262	451	361	398	500
122	7280	452	363	394	504
123	7391	279	384	449	359
124	7425	452	363	424	529
125	7515	454	362	400	498
126	7621	346	412	450	360
127	7658	449	359	374	479
128	7741	260	365	453	364
129	7858	346	412	449	359
130	7945	450	360	311	429
131	7955	453	364	348	409
132	7956	449	359	404	509
133	7993	450	360	296	400
134	8018	450	360	445	540
135	8122	449	359	357	472
136	8142	380	485	451	361
137	8254	333	449	454	362
138	8296	453	364	296	400
139	8307	286	391	454	362
140	8323	452	363	345	413
141	8424	293	397	454	362
142	8537	348	409	452	363
143	8555	420	525	454	362
144	8622	303	437	453	364
145	8630	453	364	278	383
146	8741	417	522	450	360
147	8813	352	467	452	363
148	8840	454	362	301	405
149	8857	450	360	353	468
150	8926	434	539	452	363
151	9044	372	456	453	364
152	9056	453	364	277	382
153	9120	452	363	301	405
154	9221	454	362	402	507
155	9312	452	363	396	502
156	9357	277	382	454	362
157	9419	417	522	452	363
158	9492	266	371	450	360
159	9573	450	360	261	366
160	9587	418	523	450	360
161	9610	451	361	405	510
162	9683	449	359	263	368
163	9764	416	521	450	360
164	9781	381	486	449	359
165	9827	438	550	454	362
166	9827	449	359	409	514
167	9886	364	464	449	359
168	9966	454	362	314	426
169	9968	278	383	453	364
170	9998	449	359	294	398
171	10113	351	466	454	362
172	10145	315	425	449	359
173	10224	452	363	395	503
174	10297	296	400	449	359
175	10343	450	360	401	506
176	10450	424	529	449	359
177	10461	264	369	451	361
178	10571	453	364	277	382
179	10679	379	484	454	362
180	10745	267	372	450	360
181	10794	449	359	431	536
182	10849	418	523	453	364
183	10923	452	363	277	382
184	10956	326	588	451	361
185	10983	283	388	454	362
186	11030	347	408	452	363
187	11093	451	361	340	418
188	11132	333	449	453	364
189	11251	454	362	391	496
190	11316	314	426	450	360
191	11399	387	492	452	363
192	11515	317	423	454	362
193	11528	408	513	452	363
194	11641	366	462	452	363
195	11675	453	364	422	527
196	11675	340	418	451	361
197	11710	398	500	452	363
198	11719	327	443	454	362
199	11812	261	366	453	364
200	11823	451	361	311	429
201	11842	381	486	452	363
202	11929	423	528	451	361
203	11953	321	422	454	362
204	12019	452	363	373	478
205	12111	451	361	344	414
206	12156	454	362	380	485
207	12258	442	543	451	361
