#aid	arr(1)/dep(2)	ready_time	air	gate	runway
1	1	63.66	454	281	3
2	2	128.21	449	443	2
3	1	194.90	454	371	3
4	1	256.72	454	405	3
5	1	358.54	454	429	3
6	1	440.28	454	262	3
7	1	500.29	454	419	3
8	1	622.09	454	314	3
9	1	713.54	454	378	3
10	1	817.83	454	407	3
11	2	878.35	452	308	1
12	1	941.47	450	265	2
13	1	1033.46	454	294	3
14	1	1096.91	454	380	3
15	2	1157.56	452	350	1
16	1	1237.20	450	434	2
17	2	1304.80	452	353	1
18	2	1421.20	452	288	1
19	1	1529.53	454	433	3
20	2	1639.93	449	351	2
21	1	1702.79	450	382	2
22	1	1764.91	450	351	2
23	2	1828.87	452	383	1
24	2	1909.04	452	341	1
25	2	1999.78	449	372	2
26	1	2070.65	450	355	2
27	2	2188.36	449	380	2
28	1	2288.79	450	386	2
29	1	2393.03	454	358	3
30	1	2461.15	450	425	2
31	1	2522.53	454	424	3
32	2	2625.69	449	348	2
33	1	2691.49	454	350	3
34	1	2751.81	450	291	2
35	1	2855.35	450	293	2
36	2	2928.83	452	328	1
37	2	3008.29	452	390	1
38	2	3072.45	449	291	2
39	2	3135.70	452	408	1
40	2	3209.13	452	312	1
41	1	3316.07	454	299	3
42	2	3403.03	452	366	1
43	1	3503.47	450	411	2
44	2	3705.88	452	272	1
45	1	3825.79	450	317	2
46	1	3915.48	450	303	2
47	2	3976.31	452	311	1
48	1	4095.12	450	405	2
49	2	4174.05	452	300	1
50	2	4255.26	452	404	1
51	2	4315.31	452	372	1
52	1	4409.67	454	410	3
53	1	4494.29	454	318	3
54	1	4565.55	454	342	3
55	2	4653.66	449	339	2
56	1	4715.09	454	417	3
57	2	4803.83	449	323	2
58	1	4891.13	454	289	3
59	1	5102.54	454	343	3
60	1	5311.62	454	439	3
61	1	5418.28	454	361	3
62	2	5514.83	449	394	2
63	1	6123.21	450	341	2
64	1	6207.46	450	308	2
65	1	6270.86	450	301	2
66	1	6365.80	450	329	2
67	2	6452.66	449	387	2
68	1	6552.36	450	268	2
69	1	6630.09	450	287	2
70	2	6694.30	449	349	2
71	1	6800.29	450	291	2
72	2	6911.98	452	443	1
73	1	6977.36	450	369	2
74	2	7037.51	452	366	1
75	2	7137.28	452	392	1
76	2	7473.38	452	339	1
77	1	7549.84	450	436	2
78	2	7614.24	452	416	1
79	1	8104.32	454	366	3
80	2	8301.05	449	365	2
81	2	9372.34	452	268	1
82	1	9432.52	450	283	2
