#区域号	类型	容量
0	I	1
1	I	1
2	I	1
3	I	1
4	L	1
5	I	1
6	I	1
7	L	1
8	I	1
9	I	1
10	I	1
11	I	1
12	L	1
13	I	1
14	I	1
15	I	1
16	I	1
17	I	1
18	L	2
19	I	1
20	I	1
21	I	1
22	L	2
23	I	1
24	I	1
25	L	1
26	I	1
27	I	1
28	L	2
29	I	1
30	I	1
31	I	1
32	I	1
33	I	1
34	I	1
35	L	1
36	I	1
37	I	1
38	I	1
39	I	1
40	I	1
41	I	1
42	I	1
43	I	1
44	L	2
45	I	1
46	I	1
47	L	1
48	I	1
49	I	1
50	I	1
51	I	1
52	I	1
53	L	1
54	I	1
55	I	1
56	L	1
57	I	1
58	I	1
59	I	1
60	I	1
61	I	1
62	I	1
63	I	1
64	I	1
65	I	1
66	I	1
67	L	2
68	I	1
69	I	1
70	I	1
71	I	1
72	I	1
73	I	1
74	I	1
75	L	1
76	I	1
77	I	1
78	L	2
79	I	1
80	I	1
81	I	1
82	I	1
83	I	1
84	I	1
85	L	1
86	I	1
87	I	1
88	I	1
89	I	1
90	L	1
91	I	1
92	I	1
93	I	1
94	L	2
95	I	1
96	I	1
97	I	1
98	I	1
99	L	2
100	I	1
101	I	1
102	L	2
103	I	1
104	I	1
105	L	1
106	I	1
107	I	1
108	L	1
109	I	1
110	I	1
111	I	1
112	I	1
113	L	1
114	I	1
115	L	1
116	I	1
117	L	1
118	I	1
119	L	2
120	I	1
121	L	2
122	I	1
123	L	2
124	I	1
125	I	1
126	L	2
127	I	1
128	L	1
129	I	1
130	L	2
131	I	1
132	L	2
133	I	1
134	I	1
135	L	2
136	L	1
137	I	1
138	L	1
139	L	1
140	L	1
141	L	1
142	L	1
143	L	1
144	L	1
145	I	1
146	I	1
147	I	1
148	I	1
149	I	1
150	I	1
151	I	1
152	I	1
153	L	2
154	I	1
155	I	1
156	I	1
157	L	1
158	I	1
159	I	1
160	I	1
161	I	1
162	L	1
163	I	1
164	L	1
165	I	1
166	L	1
167	I	1
168	L	2
169	L	1
170	I	1
171	I	1
172	I	1
173	I	1
174	I	1
175	I	1
176	I	1
177	I	1
178	L	2
179	L	2
180	I	1
181	I	1
182	I	1
183	I	1
184	I	1
185	L	2
186	L	2
187	I	1
188	I	1
189	I	1
190	L	2
191	I	1
192	L	2
193	I	1
194	L	1
195	L	1
196	I	1
197	I	1
198	I	1
199	L	1
200	I	1
201	I	1
202	I	1
203	I	1
204	L	1
205	L	1
206	I	1
207	I	1
208	I	1
209	L	1
210	I	1
211	I	1
212	L	1
213	I	1
214	L	2
215	I	1
216	I	1
217	I	1
218	I	1
219	L	2
220	I	1
221	I	1
222	L	2
223	L	2
224	I	1
225	I	1
226	I	1
227	I	1
228	I	1
229	I	1
230	L	1
231	I	1
232	L	1
233	I	1
234	I	1
235	L	1
236	I	1
237	L	1
238	I	1
239	L	1
240	I	1
241	I	1
242	I	1
243	I	1
244	I	1
245	I	1
246	I	1
247	I	1
248	I	1
249	I	1
250	I	1
251	I	1
252	I	1
253	I	1
254	I	1
255	I	1
256	I	1
257	L	2
258	I	1
259	L	2
260	S	
261	S	
262	S	
263	S	
264	S	
265	S	
266	S	
267	S	
268	S	
269	S	
270	S	
271	S	
272	S	
273	S	
274	S	
275	S	
276	S	
277	S	
278	S	
279	S	
280	S	
281	S	
282	S	
283	S	
284	S	
285	S	
286	S	
287	S	
288	S	
289	S	
290	S	
291	S	
292	S	
293	S	
294	S	
295	S	
296	S	
297	S	
298	S	
299	S	
300	S	
301	S	
302	S	
303	S	
304	S	
305	S	
306	S	
307	S	
308	S	
309	S	
310	S	
311	S	
312	S	
313	S	
314	S	
315	S	
316	S	
317	S	
318	S	
319	S	
320	S	
321	S	
322	S	
323	S	
324	S	
325	S	
326	S	
327	S	
328	S	
329	S	
330	S	
331	S	
332	S	
333	S	
334	S	
335	S	
336	S	
337	S	
338	S	
339	S	
340	S	
341	S	
342	S	
343	S	
344	S	
345	S	
346	S	
347	S	
348	S	
349	S	
350	S	
351	S	
352	S	
353	S	
354	S	
355	S	
356	S	
357	S	
358	S	
359	S	
360	S	
361	S	
362	S	
363	S	
364	S	
365	S	
366	S	
367	S	
368	S	
369	S	
370	S	
371	S	
372	S	
373	S	
374	S	
375	S	
376	S	
377	S	
378	S	
379	S	
380	S	
381	S	
382	S	
383	S	
384	S	
385	S	
386	S	
387	S	
388	S	
389	S	
390	S	
391	S	
392	S	
393	S	
394	S	
395	S	
396	S	
397	S	
398	S	
399	S	
400	S	
401	S	
402	S	
403	S	
404	S	
405	S	
406	S	
407	S	
408	S	
409	S	
410	S	
411	S	
412	S	
413	S	
414	S	
415	S	
416	S	
417	S	
418	S	
419	S	
420	S	
421	S	
422	S	
423	S	
424	S	
425	S	
426	S	
427	S	
428	S	
429	S	
430	S	
431	S	
432	S	
433	S	
434	S	
435	S	
436	S	
437	S	
438	S	
439	S	
440	S	
441	S	
442	S	
443	S	
444	S	
445	S	
446	R	
447	R	
448	R	
449	A	
450	A	
451	A	
452	A	
453	A	
454	A	
455	I	1 
456	L	1
457	L	1
458	I	1
459	L	1
460	L	1
461	L	1
462	L	1
463	L	1
464	L	1
465	L	1
466	L	1
